subject_id,configuration_id,seq_len,batch_size,num_kv_heads,gqa_group,head_dim,ffn_mult,num_layers,vocab_size,num_heads,hidden_size,intermediate_size
ab0f75a0da537ed6,84a149d40ba0ef8a,32,2,8,4,64,4.0,4,1024,32,2048,8192
57abb159f5db0026,5e886a28e50ccd85,32,4,8,4,128,5.25,8,4096,32,4096,21504
bf5ac81b123920c1,2b46d5b9ad01bd05,64,1,8,4,64,4.0,2,4096,32,2048,8192
d136ffe3d4703c0d,ba0db8ed665c6533,64,4,2,1,128,4.0,2,1024,2,256,1024
5c5d0572ab6d40cc,97e16a84bfb3c577,64,4,2,1,128,4.0,8,1024,2,256,1024
f56f5e81dfafcafb,83eec3bdc68fd970,128,1,2,1,128,5.25,4,4096,2,256,1344
88c23b4367406e97,eabf47de3f4e08fb,64,1,2,2,64,5.25,8,1024,4,256,1344
75677e3e8244a94f,30261a69de6deb9d,64,1,4,4,128,5.25,8,1024,16,2048,10752
83ad8f01fa7a9f9a,97270e8aba9f48df,64,2,4,1,128,5.25,2,1024,4,512,2688
69d7069ce910f4a4,d0384d5255e3d511,64,2,2,4,128,5.25,8,4096,8,1024,5376
594da9117417e76f,837790eb60e9490b,32,1,4,4,128,4.0,4,1024,16,2048,8192
0d99ac49146189b9,8fb1d298c674f95f,32,2,2,4,64,4.0,8,1024,8,512,2048
6f6f019a4e40e12a,b0f9fccd646aec4a,128,1,8,4,64,5.25,2,1024,32,2048,10752
c73c668dd2bc705c,df9130b4f42ec0a7,64,1,8,1,128,5.25,8,1024,8,1024,5376
f2686a2406f543eb,9a3054e573613462,128,1,8,1,64,4.0,8,4096,8,512,2048
45f369d5c6a13db8,83b7fcb336439245,64,4,8,2,128,4.0,4,4096,16,2048,8192
2facb80110d5e93e,54c4f5f2f525f37d,128,1,8,1,64,4.0,2,1024,8,512,2048
da6d0a8326171227,ad83ea03552d17f1,32,1,8,2,128,5.25,4,1024,16,2048,10752
