subject_id,configuration_id,phase,precision,seq_len,batch_size,step,y_vram,target_vram,target_vram_raw,cublas_infer_correction_bytes,y_flop_fcm,target_flop,y_flop,y_runtime_workspace,y_activations,peak_minus_before,alloc_before
eed33298a375925f,e7ba816705e97c9c,inference,fp32,128,2,0,33108900,34844672,43364352,8519680,2214600704,2214600704,2235933184,8519680,125933324,8996864,34367488
eed33298a375925f,e7ba816705e97c9c,training,fp32,128,2,1,161260492,139570688,139570688,0,6647848960,6643785728,6734771512,59375616,128819984,52591104,86979584
eed33298a375925f,e7ba816705e97c9c,inference,fp16,128,2,0,20814290,21863936,30383616,8519680,2214600704,2214600704,2235933184,8519680,67947398,4671488,25712128
eed33298a375925f,e7ba816705e97c9c,training,fp16,128,2,1,94982630,83698688,83698688,0,6647848960,6643785728,6734771512,39321600,69390728,31995904,51702784
4fee85606b118eb1,75423ee6b44037f9,inference,fp32,64,2,0,422307268,424968704,433488384,8519680,24964501504,24964501504,25029296384,8519680,389082380,13698560,419789824
4fee85606b118eb1,75423ee6b44037f9,training,fp32,64,2,1,1870883340,2032844288,2032844288,0,74989965312,74893496320,75865313776,817889280,393474832,404836864,1628007424
4fee85606b118eb1,75423ee6b44037f9,inference,fp16,64,2,0,215413474,217020928,225540608,8519680,24964501504,24964501504,25029296384,8519680,211318406,7112192,218428416
4fee85606b118eb1,75423ee6b44037f9,training,fp16,64,2,1,964408582,1024988672,1024988672,0,74989965312,74893496320,75865313776,421265408,213514632,202426880,822561792
c95a0d9378d2afa1,86d4616ac16f5a8c,inference,fp32,64,4,0,421751316,432296448,440816128,8519680,46439337984,46439337984,46503729664,8519680,384284044,54625792,386190336
c95a0d9378d2afa1,86d4616ac16f5a8c,training,fp32,64,4,1,1911884332,1863814656,1863814656,0,139588538368,139318005760,140403974428,1488715776,387170704,370192896,1493621760
c95a0d9378d2afa1,86d4616ac16f5a8c,inference,fp16,64,4,0,215135498,221463040,229982720,8519680,46439337984,46439337984,46503729664,8519680,209181382,28362240,201620480
c95a0d9378d2afa1,86d4616ac16f5a8c,training,fp16,64,4,1,982942998,940441088,940441088,0,139588538368,139318005760,140403974428,756809728,210624712,185098752,755342336
00875e7c07b6a4ff,7475057d7a66a607,inference,fp32,128,2,0,518893460,530109440,538629120,8519680,57445203968,57445203968,57521404416,8519680,457758348,68552704,470076416
00875e7c07b6a4ff,7475057d7a66a607,training,fp32,128,2,1,2168241068,2284293632,2284293632,0,172446728192,172335579136,173433849628,935067648,460645008,454078976,1830214656
00875e7c07b6a4ff,7475057d7a66a607,inference,fp16,128,2,0,263706570,270959616,279479296,8519680,57445203968,57445203968,57521404416,8519680,245918534,35915776,243563520
00875e7c07b6a4ff,7475057d7a66a607,training,fp16,128,2,1,1111121366,1150942720,1150942720,0,172446728192,172335579136,173433849628,479985664,247361864,227041792,923900928
e9a6034aab123854,e6edc4827fffbf46,inference,fp32,64,4,0,240344740,245651968,254171648,8519680,24964501504,24964501504,25027846656,8519680,382203404,27362816,226808832
e9a6034aab123854,e6edc4827fffbf46,training,fp32,64,4,1,1129647820,1070044672,1070044672,0,75038199808,74893496320,75577599800,819200000,391381520,213955072,856089600
e9a6034aab123854,e6edc4827fffbf46,inference,fp16,64,4,0,124432210,127619584,136139264,8519680,24964501504,24964501504,25027846656,8519680,207092486,14206464,121932800
