subject_id,configuration_id,seq_len,batch_size,num_kv_heads,gqa_group,head_dim,ffn_mult,num_layers,vocab_size,num_heads,hidden_size,intermediate_size
eed33298a375925f,e7ba816705e97c9c,128,2,4,1,64,5.25,4,1024,4,256,1344
4fee85606b118eb1,75423ee6b44037f9,64,2,8,2,64,4.0,8,4096,16,1024,4096
c95a0d9378d2afa1,86d4616ac16f5a8c,64,4,8,4,64,4.0,2,1024,32,2048,8192
00875e7c07b6a4ff,7475057d7a66a607,128,2,4,4,128,5.25,2,1024,16,2048,10752
e9a6034aab123854,e6edc4827fffbf46,64,4,4,4,64,4.0,4,4096,16,1024,4096
66c9950bca928bbd,77397211edfaad3e,32,2,2,1,128,5.25,2,1024,2,256,1344
72b56d2fc2d29568,851c65afb9959edd,32,1,8,1,64,5.25,8,1024,8,512,2688
fb94a19b31770906,1412f25ded2999ed,64,4,4,1,64,5.25,2,1024,4,256,1344
db76f44e530b7895,587641c43fb722a6,32,4,4,2,128,4.0,4,1024,8,1024,4096
d40f9ecf3eabb24f,e6edc4827fffbf46,64,1,4,4,64,4.0,4,4096,16,1024,4096
49b79e5ae76cd7c3,6751d03b9f70c245,128,1,4,2,64,5.25,4,1024,8,512,2688
983b21c134c9470c,85396b3cd3327491,64,2,4,2,64,5.25,8,4096,8,512,2688
