subject_id,configuration_id,phase,precision,seq_len,batch_size,step,y_vram,target_vram,target_vram_raw,cublas_infer_correction_bytes,y_flop_fcm,target_flop,y_flop,y_runtime_workspace,y_activations,peak_minus_before,alloc_before
7e1e74da723d5495,86d4616ac16f5a8c,inference,fp32,64,1,0,78400000,80000000,88912896,8912896,980000000,1000000000,1058400000,1000000,20000000,8000000,40000000
7e1e74da723d5495,86d4616ac16f5a8c,inference,fp16,64,1,0,39200000,40000000,48912896,8912896,490000000,500000000,529200000,1000000,10000000,4000000,20000000
7e1e74da723d5495,86d4616ac16f5a8c,training,fp32,64,1,1,137200000,140000000,140000000,0,2940000000,3000000000,3175200000,1000000,35000000,14000000,70000000
7e1e74da723d5495,86d4616ac16f5a8c,training,fp16,64,1,1,68600000,70000000,70000000,0,1470000000,1500000000,1587600000,1000000,17500000,7000000,35000000
99a573b3cee72aab,baf4ae39fcc40da5,inference,fp32,128,2,0,84150000,85000000,93912896,8912896,1039500000,1050000000,1122660000,1000000,21250000,8500000,42500000
99a573b3cee72aab,baf4ae39fcc40da5,inference,fp16,128,2,0,42075000,42500000,51412896,8912896,519750000,525000000,561330000,1000000,10625000,4250000,21250000
99a573b3cee72aab,baf4ae39fcc40da5,training,fp32,128,2,1,143550000,145000000,145000000,0,3019500000,3050000000,3261060000,1000000,36250000,14500000,72500000
99a573b3cee72aab,baf4ae39fcc40da5,training,fp16,128,2,1,71775000,72500000,72500000,0,1509750000,1525000000,1630530000,1000000,18125000,7250000,36250000
5b6cfc0cfe0f8eee,2cdf6eed6f70b827,inference,fp32,64,2,0,90000000,90000000,98912896,8912896,1100000000,1100000000,1188000000,1000000,22500000,9000000,45000000
5b6cfc0cfe0f8eee,2cdf6eed6f70b827,inference,fp16,64,2,0,45000000,45000000,53912896,8912896,550000000,550000000,594000000,1000000,11250000,4500000,22500000
5b6cfc0cfe0f8eee,2cdf6eed6f70b827,training,fp32,64,2,1,150000000,150000000,150000000,0,3100000000,3100000000,3348000000,1000000,37500000,15000000,75000000
5b6cfc0cfe0f8eee,2cdf6eed6f70b827,training,fp16,64,2,1,75000000,75000000,75000000,0,1550000000,1550000000,1674000000,1000000,18750000,7500000,37500000
68e29b7b760dcc6e,4aca96ddc74209c0,inference,fp32,128,2,0,95950000,95000000,103912896,8912896,1161500000,1150000000,1254420000,1000000,23750000,9500000,47500000
68e29b7b760dcc6e,4aca96ddc74209c0,inference,fp16,128,2,0,47975000,47500000,56412896,8912896,580750000,575000000,627210000,1000000,11875000,4750000,23750000
68e29b7b760dcc6e,4aca96ddc74209c0,training,fp32,128,2,1,156550000,155000000,155000000,0,3181500000,3150000000,3436020000,1000000,38750000,15500000,77500000
68e29b7b760dcc6e,4aca96ddc74209c0,training,fp16,128,2,1,78275000,77500000,77500000,0,1590750000,1575000000,1718010000,1000000,19375000,7750000,38750000
3f87d2e00a9fe9f3,f2ae4668a58aacf8,inference,fp32,32,4,0,102000000,100000000,108912896,8912896,1224000000,1200000000,1321920000,1000000,25000000,10000000,50000000
3f87d2e00a9fe9f3,f2ae4668a58aacf8,inference,fp16,32,4,0,51000000,50000000,58912896,8912896,612000000,600000000,660960000,1000000,12500000,5000000,25000000
3f87d2e00a9fe9f3,f2ae4668a58aacf8,training,fp32,32,4,1,163200000,160000000,160000000,0,3264000000,3200000000,3525120000,1000000,40000000,16000000,80000000
3f87d2e00a9fe9f3,f2ae4668a58aacf8,training,fp16,32,4,1,81600000,80000000,80000000,0,1632000000,1600000000,1762560000,1000000,20000000,8000000,40000000
32bc00d8b5fe090c,fc9d7af4a866ba58,inference,fp32,64,1,0,103425000,105000000,113912896,8912896,1231250000,1250000000,1329750000,1000000,26250000,10500000,52500000
32bc00d8b5fe090c,fc9d7af4a866ba58,inference,fp16,64,1,0,51712500,52500000,61412896,8912896,615625000,625000000,664875000,1000000,13125000,5250000,26250000
32bc00d8b5fe090c,fc9d7af4a866ba58,training,fp32,64,1,1,162525000,165000000,165000000,0,3201250000,3250000000,3457350000,1000000,41250000,16500000,82500000
32bc00d8b5fe090c,fc9d7af4a866ba58,training,fp16,64,1,1,81262500,82500000,82500000,0,1600625000,1625000000,1728675000,1000000,20625000,8250000,41250000
25815ee418d37871,851c65afb9959edd,inference,fp32,128,4,0,110550000,110000000,118912896,8912896,1306500000,1300000000,1411020000,1000000,27500000,11000000,55000000
25815ee418d37871,851c65afb9959edd,inference,fp16,128,4,0,55275000,55000000,63912896,8912896,653250000,650000000,705510000,1000000,13750000,5500000,27500000
25815ee418d37871,851c65afb9959edd,training,fp32,128,4,1,170850000,170000000,170000000,0,3316500000,3300000000,3581820000,1000000,42500000,17000000,85000000
25815ee418d37871,851c65afb9959edd,training,fp16,128,4,1,85425000,85000000,85000000,0,1658250000,1650000000,1790910000,1000000,21250000,8500000,42500000
5db475e6907b84af,140db773aa2f63fb,inference,fp32,32,2,0,116380000,115000000,123912896,8912896,1366200000,1350000000,1475496000,1000000,28750000,11500000,57500000
5db475e6907b84af,140db773aa2f63fb,inference,fp16,32,2,0,58190000,57500000,66412896,8912896,683100000,675000000,737748000,1000000,14375000,5750000,28750000
5db475e6907b84af,140db773aa2f63fb,training,fp32,32,2,1,177100000,175000000,175000000,0,3390200000,3350000000,3661416000,1000000,43750000,17500000,87500000
5db475e6907b84af,140db773aa2f63fb,training,fp16,32,2,1,88550000,87500000,87500000,0,1695100000,1675000000,1830708000,1000000,21875000,8750000,43750000
